
--- [START 2018-11-12_01-05-46] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = C:\Users\Admin\Desktop\doodle\code
	__file__     = baseline_25k
	out_dir      = ../../output

	<additional comments>
	  ... xxx baseline  ... 

** dataset setting **
batch_size = 320
train_dataset : 
	split        = train_0
	mode         = train
	complexity   = simplified
	len(self.id) = 8500000


valid_dataset : 
	split        = valid_0
	mode         = train
	complexity   = simplified
	len(self.id) = 27200



** net setting **
	initial_checkpoint = ../../output/backup/color_model_885.pth
<class 'model_seresnext50.Net'>
criterion=<function softmax_cross_entropy_criterion at 0x000001F743A0B0D0>

schduler
  (Exp) Decay Learning Rates
base_lr=0.010, decay=0.100, step=53125.000

** start training here! **
                    |------------ VALID -------------|-------- TRAIN/BATCH ----------|         
rate   iter  epoch  | loss   acc-1  acc-3   lb       | loss   acc-1  acc-3   lb      |  time   
----------------------------------------------------------------------------------------------------
0.0100   4.3    0.2 | 0.794  0.795  0.923  (0.854)   | 0.754  0.810  0.927  (0.864)  |  1 hr 33 min
0.0100   4.4    0.2 | 0.775  0.799  0.925  (0.857)   | 0.767  0.806  0.926  (0.862)  |  1 hr 36 min
0.0100   4.5    0.2 | 0.785  0.796  0.924  (0.855)   | 0.793  0.804  0.923  (0.859)  |  1 hr 38 min
0.0100   4.6    0.2 | 0.812  0.791  0.919  (0.850)   | 0.771  0.805  0.927  (0.861)  |  1 hr 40 min
0.0100   4.7    0.2 | 0.794  0.795  0.922  (0.854)   | 0.773  0.808  0.926  (0.862)  |  1 hr 42 min
0.0100   4.8    0.2 | 0.796  0.796  0.922  (0.854)   | 0.791  0.794  0.926  (0.855)  |  1 hr 44 min
0.0100   4.9    0.2 | 0.777  0.801  0.925  (0.858)   | 0.783  0.804  0.924  (0.859)  |  1 hr 47 min
0.0100   5.0    0.2 | 0.803  0.794  0.921  (0.853)   | 0.758  0.808  0.925  (0.862)  |  1 hr 49 min
0.0100   5.1    0.2 | 0.774  0.800  0.926  (0.858)   | 0.796  0.802  0.923  (0.858)  |  1 hr 51 min
0.0100   5.2    0.2 | 0.769  0.804  0.927  (0.861)   | 0.745  0.806  0.930  (0.864)  |  1 hr 53 min
0.0100   5.3    0.2 | 0.785  0.797  0.926  (0.857)   | 0.759  0.808  0.928  (0.863)  |  1 hr 55 min
0.0100   5.4    0.2 | 0.804  0.794  0.922  (0.853)   | 0.760  0.806  0.923  (0.860)  |  1 hr 58 min
0.0100   5.5    0.2 | 0.787  0.797  0.924  (0.856)   | 0.780  0.805  0.925  (0.860)  |  2 hr 00 min
0.0100   5.6    0.2 | 0.793  0.796  0.922  (0.854)   | 0.774  0.805  0.924  (0.860)  |  2 hr 02 min
0.0100   5.7    0.2 | 0.803  0.792  0.921  (0.852)   | 0.788  0.805  0.925  (0.860)  |  2 hr 04 min
0.0100   5.8    0.2 | 0.795  0.794  0.923  (0.854)   | 0.764  0.804  0.925  (0.861)  |  2 hr 06 min
0.0100   5.9    0.2 | 0.816  0.789  0.919  (0.849)   | 0.788  0.802  0.925  (0.859)  |  2 hr 08 min
