
--- [START 2018-11-12_01-05-46] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = C:\Users\Admin\Desktop\doodle\code
	__file__     = baseline_25k
	out_dir      = ../../output

	<additional comments>
	  ... xxx baseline  ... 

** dataset setting **
batch_size = 320
train_dataset : 
	split        = train_0
	mode         = train
	complexity   = simplified
	len(self.id) = 8500000


valid_dataset : 
	split        = valid_0
	mode         = train
	complexity   = simplified
	len(self.id) = 27200



** net setting **
	initial_checkpoint = ../../output/backup/color_model_885.pth
<class 'model_seresnext50.Net'>
criterion=<function softmax_cross_entropy_criterion at 0x000001F743A0B0D0>

schduler
  (Exp) Decay Learning Rates
base_lr=0.010, decay=0.100, step=53125.000

** start training here! **
                    |------------ VALID -------------|-------- TRAIN/BATCH ----------|         
rate   iter  epoch  | loss   acc-1  acc-3   lb       | loss   acc-1  acc-3   lb      |  time   
----------------------------------------------------------------------------------------------------
0.0100  18.3    0.7 | 0.754  0.803  0.928  (0.861)   | 0.785  0.801  0.929  (0.860)  |  6 hr 36 min
0.0100  18.4    0.7 | 0.771  0.799  0.925  (0.857)   | 0.775  0.804  0.924  (0.860)  |  6 hr 38 min
0.0100  18.5    0.7 | 0.761  0.802  0.927  (0.859)   | 0.788  0.796  0.924  (0.855)  |  6 hr 40 min
0.0100  18.6    0.7 | 0.770  0.800  0.926  (0.858)   | 0.771  0.804  0.929  (0.861)  |  6 hr 42 min
0.0100  18.7    0.7 | 0.773  0.798  0.927  (0.857)   | 0.753  0.807  0.930  (0.864)  |  6 hr 45 min
0.0100  18.8    0.7 | 0.761  0.802  0.926  (0.860)   | 0.770  0.809  0.927  (0.863)  |  6 hr 47 min
0.0100  18.9    0.7 | 0.762  0.802  0.927  (0.860)   | 0.773  0.803  0.925  (0.860)  |  6 hr 49 min
0.0100  19.0    0.7 | 0.769  0.799  0.927  (0.858)   | 0.739  0.807  0.929  (0.864)  |  6 hr 51 min
0.0100  19.1    0.7 | 0.760  0.802  0.927  (0.860)   | 0.772  0.806  0.925  (0.861)  |  6 hr 53 min
0.0100  19.2    0.7 | 0.774  0.799  0.925  (0.858)   | 0.739  0.816  0.933  (0.870)  |  6 hr 55 min
0.0100  19.3    0.7 | 0.777  0.799  0.924  (0.857)   | 0.786  0.804  0.922  (0.858)  |  6 hr 57 min
0.0100  19.4    0.7 | 0.766  0.800  0.925  (0.858)   | 0.788  0.801  0.925  (0.858)  |  7 hr 00 min
0.0100  19.5    0.7 | 0.768  0.802  0.925  (0.859)   | 0.755  0.806  0.927  (0.862)  |  7 hr 02 min
0.0100  19.6    0.7 | 0.773  0.799  0.926  (0.857)   | 0.748  0.810  0.930  (0.865)  |  7 hr 04 min
0.0100  19.7    0.7 | 0.765  0.802  0.926  (0.859)   | 0.761  0.806  0.926  (0.862)  |  7 hr 06 min
0.0100  19.8    0.7 | 0.760  0.802  0.926  (0.860)   | 0.734  0.814  0.933  (0.869)  |  7 hr 08 min
0.0100  19.9    0.7 | 0.781  0.799  0.924  (0.857)   | 0.768  0.805  0.925  (0.861)  |  7 hr 10 min
0.0100  20.0    0.8 | 0.765  0.801  0.926  (0.858)*  | 0.771  0.802  0.927  (0.859)  |  7 hr 13 min
0.0100  20.1    0.8 | 0.774  0.799  0.925  (0.857)   | 0.782  0.800  0.920  (0.856)  |  7 hr 15 min
0.0100  20.2    0.8 | 0.797  0.792  0.924  (0.853)   | 0.786  0.803  0.925  (0.859)  |  7 hr 17 min
0.0100  20.3    0.8 | 0.781  0.797  0.925  (0.856)   | 0.763  0.807  0.923  (0.861)  |  7 hr 19 min
0.0100  20.4    0.8 | 0.790  0.797  0.925  (0.856)   | 0.764  0.803  0.927  (0.860)  |  7 hr 21 min
0.0100  20.5    0.8 | 0.765  0.801  0.927  (0.859)   | 0.763  0.809  0.925  (0.862)  |  7 hr 23 min
0.0100  20.6    0.8 | 0.767  0.800  0.927  (0.858)   | 0.774  0.807  0.924  (0.861)  |  7 hr 26 min
0.0100  20.7    0.8 | 0.767  0.800  0.925  (0.858)   | 0.803  0.801  0.922  (0.857)  |  7 hr 28 min
0.0100  20.8    0.8 | 0.765  0.801  0.926  (0.859)   | 0.793  0.802  0.923  (0.857)  |  7 hr 30 min
0.0100  20.9    0.8 | 0.782  0.797  0.925  (0.856)   | 0.775  0.803  0.926  (0.860)  |  7 hr 32 min
0.0100  21.0    0.8 | 0.770  0.799  0.926  (0.858)   | 0.746  0.811  0.930  (0.866)  |  7 hr 34 min
0.0100  21.1    0.8 | 0.774  0.800  0.926  (0.858)   | 0.756  0.805  0.930  (0.863)  |  7 hr 36 min
0.0100  21.2    0.8 | 0.762  0.802  0.927  (0.860)   | 0.738  0.811  0.931  (0.866)  |  7 hr 38 min
0.0100  21.3    0.8 | 0.758  0.802  0.928  (0.860)   | 0.752  0.809  0.930  (0.865)  |  7 hr 41 min
0.0100  21.4    0.8 | 0.768  0.800  0.927  (0.858)   | 0.795  0.807  0.927  (0.861)  |  7 hr 43 min
0.0100  21.5    0.8 | 0.763  0.801  0.927  (0.859)   | 0.728  0.815  0.930  (0.868)  |  7 hr 45 min
0.0100  21.6    0.8 | 0.749  0.805  0.928  (0.862)   | 0.747  0.818  0.933  (0.871)  |  7 hr 47 min
0.0100  21.7    0.8 | 0.773  0.799  0.926  (0.858)   | 0.758  0.808  0.927  (0.863)  |  7 hr 49 min
0.0100  21.8    0.8 | 0.759  0.805  0.927  (0.861)   | 0.751  0.806  0.932  (0.864)  |  7 hr 51 min
0.0100  21.9    0.8 | 0.785  0.798  0.925  (0.856)   | 0.772  0.807  0.925  (0.861)  |  7 hr 54 min
0.0100  22.0    0.8 | 0.773  0.800  0.926  (0.858)*  | 0.758  0.806  0.928  (0.862)  |  7 hr 56 min
0.0100  22.1    0.8 | 0.772  0.801  0.926  (0.858)   | 0.766  0.806  0.928  (0.862)  |  7 hr 58 min
0.0100  22.2    0.8 | 0.758  0.804  0.928  (0.861)   | 0.723  0.810  0.931  (0.866)  |  8 hr 00 min
0.0100  22.3    0.8 | 0.778  0.799  0.926  (0.858)   | 0.748  0.815  0.929  (0.868)  |  8 hr 02 min
0.0100  22.4    0.8 | 0.784  0.798  0.925  (0.856)   | 0.784  0.797  0.924  (0.856)  |  8 hr 04 min
0.0100  22.5    0.8 | 0.751  0.805  0.929  (0.862)   | 0.759  0.807  0.928  (0.862)  |  8 hr 07 min
0.0100  22.6    0.9 | 0.786  0.797  0.925  (0.856)   | 0.786  0.805  0.924  (0.860)  |  8 hr 09 min
0.0100  22.7    0.9 | 0.776  0.799  0.926  (0.858)   | 0.773  0.810  0.921  (0.861)  |  8 hr 11 min
0.0100  22.8    0.9 | 0.755  0.804  0.929  (0.862)   | 0.746  0.813  0.930  (0.867)  |  8 hr 13 min
0.0100  22.9    0.9 | 0.770  0.800  0.927  (0.858)   | 0.743  0.817  0.929  (0.869)  |  8 hr 15 min
0.0100  23.0    0.9 | 0.785  0.795  0.925  (0.855)   | 0.774  0.806  0.926  (0.861)  |  8 hr 17 min
0.0100  23.1    0.9 | 0.780  0.798  0.924  (0.856)   | 0.765  0.802  0.928  (0.860)  |  8 hr 20 min
0.0100  23.2    0.9 | 0.775  0.800  0.926  (0.858)   | 0.741  0.814  0.928  (0.866)  |  8 hr 22 min
0.0100  23.3    0.9 | 0.754  0.804  0.929  (0.861)   | 0.780  0.809  0.924  (0.862)  |  8 hr 24 min
0.0100  23.4    0.9 | 0.779  0.798  0.925  (0.856)   | 0.754  0.804  0.929  (0.862)  |  8 hr 26 min
0.0100  23.5    0.9 | 0.777  0.798  0.925  (0.857)   | 0.741  0.813  0.930  (0.867)  |  8 hr 28 min
0.0100  23.6    0.9 | 0.766  0.800  0.927  (0.858)   | 0.793  0.799  0.927  (0.858)  |  8 hr 30 min
0.0100  23.7    0.9 | 0.758  0.803  0.927  (0.860)   | 0.800  0.806  0.921  (0.859)  |  8 hr 32 min
0.0100  23.8    0.9 | 0.761  0.801  0.926  (0.859)   | 0.778  0.797  0.925  (0.856)  |  8 hr 35 min
0.0100  23.9    0.9 | 0.768  0.802  0.927  (0.860)   | 0.754  0.810  0.930  (0.865)  |  8 hr 37 min
0.0100  24.0    0.9 | 0.753  0.805  0.929  (0.862)*  | 0.780  0.800  0.923  (0.857)  |  8 hr 39 min
0.0100  24.1    0.9 | 0.741  0.809  0.929  (0.865)   | 0.750  0.812  0.933  (0.868)  |  8 hr 41 min
0.0100  24.2    0.9 | 0.760  0.803  0.927  (0.860)   | 0.788  0.803  0.923  (0.858)  |  8 hr 43 min
0.0100  24.3    0.9 | 0.780  0.797  0.924  (0.856)   | 0.799  0.799  0.921  (0.856)  |  8 hr 45 min
0.0100  24.4    0.9 | 0.760  0.802  0.928  (0.860)   | 0.755  0.818  0.928  (0.869)  |  8 hr 47 min
0.0100  24.5    0.9 | 0.756  0.804  0.929  (0.862)   | 0.807  0.800  0.919  (0.855)  |  8 hr 50 min
0.0100  24.6    0.9 | 0.753  0.805  0.928  (0.862)   | 0.793  0.805  0.922  (0.859)  |  8 hr 52 min
0.0100  24.7    0.9 | 0.758  0.804  0.927  (0.860)   | 0.761  0.805  0.927  (0.861)  |  8 hr 54 min
0.0100  24.8    0.9 | 0.761  0.801  0.928  (0.859)   | 0.743  0.806  0.925  (0.862)  |  8 hr 56 min
0.0100  24.9    0.9 | 0.750  0.804  0.929  (0.862)   | 0.780  0.806  0.927  (0.862)  |  8 hr 58 min
0.0100  25.0    0.9 | 0.782  0.798  0.924  (0.856)   | 0.798  0.798  0.926  (0.858)  |  9 hr 00 min
0.0100  25.1    0.9 | 0.762  0.802  0.926  (0.859)   | 0.752  0.802  0.931  (0.862)  |  9 hr 02 min
0.0100  25.2    0.9 | 0.765  0.802  0.928  (0.860)   | 0.749  0.809  0.929  (0.864)  |  9 hr 05 min
0.0100  25.3    1.0 | 0.762  0.802  0.927  (0.860)   | 0.803  0.798  0.922  (0.856)  |  9 hr 07 min
0.0100  25.4    1.0 | 0.765  0.800  0.926  (0.859)   | 0.783  0.798  0.923  (0.856)  |  9 hr 09 min
0.0100  25.5    1.0 | 0.761  0.803  0.927  (0.860)   | 0.804  0.798  0.925  (0.857)  |  9 hr 11 min
0.0100  25.6    1.0 | 0.785  0.797  0.924  (0.856)   | 0.762  0.802  0.928  (0.860)  |  9 hr 13 min
0.0100  25.7    1.0 | 0.760  0.801  0.928  (0.860)   | 0.786  0.803  0.925  (0.860)  |  9 hr 15 min
0.0100  25.8    1.0 | 0.742  0.806  0.930  (0.863)   | 0.764  0.809  0.929  (0.864)  |  9 hr 18 min
0.0100  25.9    1.0 | 0.761  0.802  0.927  (0.860)   | 0.778  0.803  0.925  (0.859)  |  9 hr 20 min
0.0100  26.0    1.0 | 0.758  0.805  0.927  (0.861)*  | 0.770  0.801  0.925  (0.858)  |  9 hr 22 min
0.0100  26.1    1.0 | 0.772  0.800  0.925  (0.858)   | 0.781  0.802  0.925  (0.858)  |  9 hr 24 min
0.0100  26.2    1.0 | 0.754  0.803  0.927  (0.860)   | 0.780  0.800  0.924  (0.857)  |  9 hr 26 min
0.0100  26.3    1.0 | 0.758  0.804  0.926  (0.860)   | 0.794  0.800  0.926  (0.858)  |  9 hr 28 min
0.0100  26.4    1.0 | 0.753  0.804  0.928  (0.861)   | 0.749  0.806  0.930  (0.864)  |  9 hr 30 min
0.0100  26.5    1.0 | 0.763  0.801  0.926  (0.859)   | 0.771  0.803  0.927  (0.861)  |  9 hr 33 min
0.0100  26.6    1.0 | 0.752  0.804  0.928  (0.861)   | 0.760  0.805  0.925  (0.861)  |  9 hr 35 min
0.0100  26.7    1.0 | 0.783  0.797  0.924  (0.855)   | 0.752  0.811  0.928  (0.865)  |  9 hr 37 min
0.0100  26.8    1.0 | 0.770  0.801  0.927  (0.859)   | 0.772  0.802  0.928  (0.859)  |  9 hr 39 min
0.0100  26.9    1.0 | 0.766  0.803  0.926  (0.860)   | 0.738  0.808  0.932  (0.866)  |  9 hr 41 min
0.0100  27.0    1.0 | 0.757  0.805  0.926  (0.861)   | 0.767  0.805  0.924  (0.860)  |  9 hr 43 min
0.0100  27.1    1.0 | 0.771  0.801  0.926  (0.858)   | 0.741  0.807  0.930  (0.864)  |  9 hr 45 min
0.0100  27.2    1.0 | 0.764  0.802  0.925  (0.859)   | 0.746  0.808  0.933  (0.866)  |  9 hr 48 min
0.0100  27.3    1.0 | 0.767  0.803  0.925  (0.859)   | 0.723  0.818  0.931  (0.870)  |  9 hr 50 min
0.0100  27.4    1.0 | 0.752  0.807  0.928  (0.863)   | 0.721  0.812  0.931  (0.868)  |  9 hr 52 min
0.0100  27.5    1.0 | 0.769  0.802  0.925  (0.859)   | 0.722  0.815  0.934  (0.870)  |  9 hr 54 min
0.0100  27.6    1.0 | 0.779  0.799  0.925  (0.858)   | 0.701  0.817  0.935  (0.871)  |  9 hr 56 min
0.0100  27.7    1.0 | 0.779  0.799  0.924  (0.857)   | 0.743  0.813  0.925  (0.865)  |  9 hr 58 min
0.0100  27.8    1.0 | 0.751  0.804  0.928  (0.861)   | 0.737  0.814  0.932  (0.869)  | 10 hr 00 min
0.0100  27.9    1.1 | 0.775  0.801  0.925  (0.858)   | 0.762  0.814  0.926  (0.865)  | 10 hr 03 min
0.0100  28.0    1.1 | 0.771  0.801  0.926  (0.859)*  | 0.715  0.814  0.933  (0.869)  | 10 hr 05 min
0.0100  28.1    1.1 | 0.758  0.804  0.926  (0.860)   | 0.736  0.811  0.930  (0.866)  | 10 hr 07 min
0.0100  28.2    1.1 | 0.762  0.803  0.927  (0.860)   | 0.726  0.815  0.933  (0.870)  | 10 hr 09 min
0.0100  28.3    1.1 | 0.767  0.799  0.927  (0.858)   | 0.746  0.801  0.926  (0.859)  | 10 hr 11 min
0.0100  28.4    1.1 | 0.766  0.801  0.926  (0.859)   | 0.728  0.816  0.932  (0.869)  | 10 hr 13 min
0.0100  28.5    1.1 | 0.763  0.802  0.927  (0.859)   | 0.736  0.812  0.932  (0.868)  | 10 hr 16 min
0.0100  28.6    1.1 | 0.763  0.801  0.928  (0.859)   | 0.682  0.814  0.938  (0.871)  | 10 hr 18 min
0.0100  28.7    1.1 | 0.767  0.799  0.926  (0.857)   | 0.756  0.809  0.930  (0.864)  | 10 hr 20 min
0.0100  28.8    1.1 | 0.761  0.803  0.927  (0.860)   | 0.765  0.814  0.926  (0.866)  | 10 hr 22 min
0.0100  28.9    1.1 | 0.781  0.797  0.925  (0.856)   | 0.738  0.811  0.931  (0.866)  | 10 hr 24 min
0.0100  29.0    1.1 | 0.776  0.799  0.925  (0.857)   | 0.742  0.812  0.929  (0.866)  | 10 hr 26 min
0.0100  29.1    1.1 | 0.768  0.800  0.926  (0.858)   | 0.754  0.810  0.930  (0.865)  | 10 hr 28 min
0.0100  29.2    1.1 | 0.782  0.798  0.925  (0.857)   | 0.730  0.813  0.933  (0.869)  | 10 hr 31 min
0.0100  29.3    1.1 | 0.768  0.800  0.926  (0.858)   | 0.735  0.814  0.932  (0.868)  | 10 hr 33 min
0.0100  29.4    1.1 | 0.790  0.794  0.923  (0.853)   | 0.770  0.802  0.927  (0.860)  | 10 hr 35 min
0.0100  29.5    1.1 | 0.800  0.793  0.924  (0.853)   | 0.704  0.820  0.935  (0.873)  | 10 hr 37 min
0.0100  29.6    1.1 | 0.768  0.801  0.927  (0.859)   | 0.766  0.811  0.927  (0.865)  | 10 hr 39 min
0.0100  29.7    1.1 | 0.780  0.797  0.924  (0.856)   | 0.759  0.807  0.927  (0.862)  | 10 hr 41 min
0.0100  29.8    1.1 | 0.769  0.801  0.926  (0.859)   | 0.731  0.815  0.929  (0.868)  | 10 hr 43 min
0.0100  29.9    1.1 | 0.759  0.803  0.928  (0.860)   | 0.712  0.817  0.931  (0.870)  | 10 hr 46 min
0.0100  30.0    1.1 | 0.765  0.802  0.928  (0.860)*  | 0.726  0.810  0.931  (0.866)  | 10 hr 48 min
0.0100  30.1    1.1 | 0.765  0.801  0.926  (0.859)   | 0.785  0.796  0.922  (0.854)  | 10 hr 50 min
0.0100  30.2    1.1 | 0.776  0.797  0.925  (0.856)   | 0.787  0.800  0.925  (0.858)  | 10 hr 52 min
0.0100  30.3    1.1 | 0.767  0.801  0.927  (0.859)   | 0.755  0.805  0.927  (0.861)  | 10 hr 54 min
0.0100  30.4    1.1 | 0.759  0.801  0.927  (0.859)   | 0.756  0.809  0.930  (0.865)  | 10 hr 56 min
0.0100  30.5    1.1 | 0.782  0.799  0.924  (0.856)   | 0.736  0.815  0.928  (0.866)  | 10 hr 58 min
0.0100  30.6    1.2 | 0.748  0.805  0.929  (0.862)   | 0.755  0.807  0.926  (0.862)  | 11 hr 01 min
0.0100  30.7    1.2 | 0.764  0.799  0.927  (0.859)   | 0.737  0.805  0.929  (0.862)  | 11 hr 03 min
0.0100  30.8    1.2 | 0.755  0.803  0.927  (0.860)   | 0.757  0.806  0.929  (0.863)  | 11 hr 05 min
0.0100  30.9    1.2 | 0.765  0.800  0.927  (0.859)   | 0.730  0.809  0.933  (0.866)  | 11 hr 07 min
0.0100  31.0    1.2 | 0.771  0.800  0.926  (0.858)   | 0.761  0.813  0.929  (0.868)  | 11 hr 09 min
0.0100  31.1    1.2 | 0.759  0.802  0.926  (0.860)   | 0.741  0.813  0.926  (0.866)  | 11 hr 11 min
0.0100  31.2    1.2 | 0.783  0.796  0.925  (0.855)   | 0.762  0.809  0.926  (0.864)  | 11 hr 13 min
0.0100  31.3    1.2 | 0.766  0.800  0.927  (0.859)   | 0.758  0.807  0.925  (0.861)  | 11 hr 16 min
0.0100  31.4    1.2 | 0.763  0.802  0.927  (0.860)   | 0.706  0.817  0.935  (0.872)  | 11 hr 18 min
0.0100  31.5    1.2 | 0.759  0.802  0.928  (0.860)   | 0.742  0.809  0.929  (0.865)  | 11 hr 20 min
0.0100  31.6    1.2 | 0.764  0.802  0.928  (0.860)   | 0.759  0.811  0.929  (0.865)  | 11 hr 22 min
0.0100  31.7    1.2 | 0.766  0.803  0.927  (0.860)   | 0.739  0.812  0.927  (0.865)  | 11 hr 24 min
0.0100  31.8    1.2 | 0.770  0.800  0.926  (0.858)   | 0.776  0.805  0.926  (0.860)  | 11 hr 26 min
0.0100  31.9    1.2 | 0.758  0.803  0.928  (0.861)   | 0.727  0.812  0.932  (0.867)  | 11 hr 28 min
0.0100  32.0    1.2 | 0.754  0.804  0.927  (0.861)*  | 0.726  0.817  0.933  (0.870)  | 11 hr 31 min
0.0100  32.1    1.2 | 0.758  0.803  0.928  (0.860)   | 0.769  0.803  0.925  (0.860)  | 11 hr 33 min
0.0100  32.2    1.2 | 0.774  0.799  0.925  (0.857)   | 0.775  0.805  0.923  (0.860)  | 11 hr 35 min
0.0100  32.3    1.2 | 0.763  0.800  0.927  (0.859)   | 0.770  0.808  0.928  (0.863)  | 11 hr 37 min
0.0100  32.4    1.2 | 0.760  0.801  0.927  (0.859)   | 0.752  0.810  0.925  (0.863)  | 11 hr 39 min
0.0100  32.5    1.2 | 0.776  0.799  0.924  (0.857)   | 0.773  0.801  0.929  (0.860)  | 11 hr 41 min
0.0100  32.6    1.2 | 0.781  0.797  0.924  (0.856)   | 0.734  0.812  0.932  (0.867)  | 11 hr 43 min
0.0100  32.7    1.2 | 0.768  0.801  0.927  (0.859)   | 0.740  0.811  0.932  (0.867)  | 11 hr 46 min
0.0100  32.8    1.2 | 0.773  0.800  0.926  (0.858)   | 0.756  0.799  0.927  (0.858)  | 11 hr 48 min
0.0100  32.9    1.2 | 0.764  0.800  0.926  (0.858)   | 0.754  0.813  0.928  (0.866)  | 11 hr 50 min
0.0100  33.0    1.2 | 0.800  0.792  0.922  (0.852)   | 0.761  0.806  0.928  (0.862)  | 11 hr 52 min
0.0100  33.1    1.2 | 0.765  0.802  0.927  (0.859)   | 0.754  0.805  0.928  (0.862)  | 11 hr 54 min
0.0100  33.2    1.2 | 0.766  0.803  0.928  (0.860)   | 0.729  0.817  0.929  (0.869)  | 11 hr 56 min
0.0100  33.3    1.3 | 0.766  0.802  0.926  (0.859)   | 0.723  0.817  0.932  (0.870)  | 11 hr 58 min
0.0100  33.4    1.3 | 0.775  0.801  0.925  (0.859)   | 0.728  0.818  0.934  (0.871)  | 12 hr 01 min
0.0100  33.5    1.3 | 0.782  0.797  0.925  (0.856)   | 0.763  0.803  0.928  (0.861)  | 12 hr 03 min
0.0100  33.6    1.3 | 0.756  0.804  0.927  (0.861)   | 0.718  0.820  0.931  (0.871)  | 12 hr 05 min
0.0100  33.7    1.3 | 0.779  0.797  0.924  (0.856)   | 0.744  0.810  0.929  (0.865)  | 12 hr 07 min
0.0100  33.8    1.3 | 0.754  0.804  0.929  (0.861)   | 0.767  0.804  0.930  (0.862)  | 12 hr 09 min
0.0100  33.9    1.3 | 0.758  0.804  0.927  (0.861)   | 0.742  0.813  0.931  (0.868)  | 12 hr 11 min
0.0100  34.0    1.3 | 0.765  0.803  0.926  (0.860)*  | 0.755  0.808  0.930  (0.864)  | 12 hr 14 min
0.0100  34.1    1.3 | 0.760  0.803  0.926  (0.860)   | 0.770  0.810  0.928  (0.864)  | 12 hr 16 min
0.0100  34.2    1.3 | 0.753  0.805  0.927  (0.861)   | 0.750  0.811  0.926  (0.865)  | 12 hr 18 min
0.0100  34.3    1.3 | 0.778  0.797  0.925  (0.856)   | 0.727  0.813  0.931  (0.868)  | 12 hr 20 min
0.0100  34.4    1.3 | 0.745  0.805  0.929  (0.862)   | 0.750  0.809  0.931  (0.865)  | 12 hr 22 min
0.0100  34.5    1.3 | 0.777  0.800  0.924  (0.858)   | 0.771  0.811  0.928  (0.865)  | 12 hr 24 min
0.0100  34.6    1.3 | 0.764  0.802  0.927  (0.860)   | 0.759  0.809  0.930  (0.865)  | 12 hr 26 min
0.0100  34.7    1.3 | 0.775  0.798  0.927  (0.857)   | 0.735  0.811  0.928  (0.865)  | 12 hr 29 min
0.0100  34.8    1.3 | 0.783  0.796  0.925  (0.855)   | 0.797  0.798  0.922  (0.855)  | 12 hr 31 min
0.0100  34.9    1.3 | 0.780  0.798  0.925  (0.857)   | 0.771  0.811  0.928  (0.865)  | 12 hr 33 min
0.0100  35.0    1.3 | 0.780  0.798  0.925  (0.857)   | 0.747  0.813  0.927  (0.865)  | 12 hr 35 min
0.0100  35.1    1.3 | 0.769  0.801  0.926  (0.859)   | 0.755  0.811  0.930  (0.866)  | 12 hr 37 min
0.0100  35.2    1.3 | 0.764  0.801  0.928  (0.859)   | 0.728  0.818  0.930  (0.870)  | 12 hr 39 min
0.0100  35.3    1.3 | 0.774  0.799  0.927  (0.858)   | 0.757  0.808  0.931  (0.865)  | 12 hr 41 min
0.0100  35.4    1.3 | 0.761  0.806  0.926  (0.861)   | 0.728  0.813  0.931  (0.868)  | 12 hr 44 min
0.0100  35.5    1.3 | 0.753  0.804  0.928  (0.861)   | 0.714  0.817  0.934  (0.870)  | 12 hr 46 min
0.0100  35.6    1.3 | 0.769  0.801  0.926  (0.859)   | 0.732  0.819  0.931  (0.871)  | 12 hr 48 min
0.0100  35.7    1.3 | 0.783  0.795  0.925  (0.855)   | 0.758  0.803  0.927  (0.860)  | 12 hr 50 min
0.0100  35.8    1.3 | 0.752  0.805  0.928  (0.862)   | 0.721  0.812  0.934  (0.868)  | 12 hr 52 min
0.0100  35.9    1.4 | 0.761  0.801  0.927  (0.859)   | 0.721  0.814  0.932  (0.868)  | 12 hr 54 min
0.0100  36.0    1.4 | 0.751  0.804  0.928  (0.861)*  | 0.753  0.808  0.929  (0.864)  | 12 hr 56 min
0.0100  36.1    1.4 | 0.766  0.801  0.926  (0.859)   | 0.750  0.805  0.928  (0.862)  | 12 hr 59 min
0.0100  36.2    1.4 | 0.765  0.802  0.927  (0.859)   | 0.719  0.819  0.932  (0.871)  | 13 hr 01 min
0.0100  36.3    1.4 | 0.752  0.804  0.929  (0.861)   | 0.760  0.815  0.923  (0.865)  | 13 hr 03 min
0.0100  36.4    1.4 | 0.773  0.799  0.926  (0.858)   | 0.735  0.809  0.928  (0.864)  | 13 hr 05 min
0.0100  36.5    1.4 | 0.761  0.802  0.927  (0.859)   | 0.744  0.808  0.931  (0.865)  | 13 hr 07 min
0.0100  36.6    1.4 | 0.756  0.804  0.928  (0.861)   | 0.777  0.799  0.924  (0.857)  | 13 hr 09 min
0.0100  36.7    1.4 | 0.778  0.798  0.925  (0.857)   | 0.752  0.811  0.927  (0.865)  | 13 hr 11 min
0.0100  36.8    1.4 | 0.776  0.799  0.925  (0.857)   | 0.764  0.807  0.928  (0.863)  | 13 hr 14 min
0.0100  36.9    1.4 | 0.748  0.806  0.929  (0.862)   | 0.745  0.813  0.928  (0.865)  | 13 hr 16 min
0.0100  37.0    1.4 | 0.756  0.803  0.927  (0.860)   | 0.748  0.810  0.932  (0.866)  | 13 hr 18 min
0.0100  37.1    1.4 | 0.750  0.803  0.929  (0.861)   | 0.739  0.816  0.929  (0.868)  | 13 hr 20 min
0.0100  37.2    1.4 | 0.756  0.802  0.928  (0.860)   | 0.770  0.805  0.928  (0.861)  | 13 hr 22 min
0.0100  37.3    1.4 | 0.749  0.804  0.929  (0.862)   | 0.746  0.808  0.933  (0.865)  | 13 hr 24 min
0.0100  37.4    1.4 | 0.774  0.799  0.926  (0.858)   | 0.710  0.815  0.935  (0.870)  | 13 hr 27 min
0.0100  37.5    1.4 | 0.769  0.800  0.926  (0.858)   | 0.742  0.809  0.931  (0.866)  | 13 hr 29 min
0.0100  37.6    1.4 | 0.754  0.803  0.928  (0.860)   | 0.736  0.815  0.929  (0.868)  | 13 hr 31 min
0.0100  37.7    1.4 | 0.763  0.799  0.928  (0.858)   | 0.746  0.809  0.927  (0.864)  | 13 hr 33 min
0.0100  37.8    1.4 | 0.781  0.797  0.924  (0.855)   | 0.758  0.807  0.928  (0.863)  | 13 hr 35 min
0.0100  37.9    1.4 | 0.763  0.802  0.926  (0.859)   | 0.791  0.805  0.924  (0.860)  | 13 hr 37 min
0.0100  38.0    1.4 | 0.773  0.798  0.926  (0.857)*  | 0.761  0.810  0.925  (0.863)  | 13 hr 39 min
0.0100  38.1    1.4 | 0.760  0.801  0.925  (0.858)   | 0.753  0.809  0.929  (0.864)  | 13 hr 42 min
0.0100  38.2    1.4 | 0.772  0.798  0.927  (0.857)   | 0.707  0.816  0.931  (0.869)  | 13 hr 44 min
0.0100  38.3    1.4 | 0.784  0.798  0.924  (0.856)   | 0.769  0.807  0.924  (0.861)  | 13 hr 46 min
0.0100  38.4    1.4 | 0.798  0.793  0.922  (0.853)   | 0.721  0.816  0.933  (0.870)  | 13 hr 48 min
0.0100  38.5    1.4 | 0.761  0.804  0.927  (0.860)   | 0.778  0.805  0.922  (0.859)  | 13 hr 50 min
0.0100  38.6    1.5 | 0.767  0.801  0.926  (0.859)   | 0.747  0.812  0.925  (0.864)  | 13 hr 52 min
0.0100  38.7    1.5 | 0.768  0.801  0.926  (0.859)   | 0.766  0.808  0.925  (0.862)  | 13 hr 54 min
0.0100  38.8    1.5 | 0.749  0.803  0.929  (0.861)   | 0.740  0.810  0.932  (0.866)  | 13 hr 57 min
0.0100  38.9    1.5 | 0.751  0.806  0.929  (0.862)   | 0.796  0.803  0.919  (0.857)  | 13 hr 59 min
0.0100  39.0    1.5 | 0.772  0.801  0.925  (0.858)   | 0.739  0.809  0.929  (0.865)  | 14 hr 01 min
0.0100  39.1    1.5 | 0.763  0.801  0.926  (0.859)   | 0.736  0.811  0.929  (0.865)  | 14 hr 03 min
0.0100  39.2    1.5 | 0.753  0.804  0.928  (0.862)   | 0.730  0.810  0.931  (0.866)  | 14 hr 05 min
0.0100  39.3    1.5 | 0.760  0.801  0.928  (0.859)   | 0.774  0.803  0.925  (0.859)  | 14 hr 07 min
